Date,Activity,Group,Duration,Distance,Steps,Calories
1/26/15,walking,walking,1262,0.665,1450,0
1/26/15,cycling,cycling,1488,5.169,0,0
1/27/15,running,running,260,0.420,634,0
1/27/15,walking,walking,1292,0.704,1666,0
1/27/15,cycling,cycling,3303,9.510,0,0
1/28/15,walking,walking,4117,2.364,4993,0
1/29/15,walking,walking,2801,1.517,3571,0
1/29/15,cycling,cycling,2020,5.837,0,0
1/29/15,transport,transport,198,0.495,0,0
1/30/15,walking,walking,3331,2.046,3962,0
1/30/15,cycling,cycling,2338,8.328,0,0
1/30/15,transport,transport,219,0.582,0,0
1/31/15,walking,walking,3698,2.431,5618,0
1/31/15,transport,transport,292,0.889,0,0
2/1/15,walking,walking,11140,8.133,18425,0
2/1/15,cycling,cycling,259,0.572,0,0
2/1/15,transport,transport,1439,7.383,0,0
